ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers,slice_factor
nfcorpus,3.1046013832092285,0.9,0,13,1
nfcorpus,3.095404624938965,0.9,0,14,1
nfcorpus,3.188549757003784,0.9,0,15,1
nfcorpus,7.22075343132019,0.9,0,1,3
nfcorpus,4.355809211730957,0.9,0,2,3
nfcorpus,3.5970046520233154,0.9,0,3,3
nfcorpus,3.695770502090454,0.9,0,4,3
nfcorpus,3.4323036670684814,0.9,0,5,3
nfcorpus,3.4930152893066406,0.9,0,6,3
nfcorpus,3.605525016784668,0.9,0,7,3
nfcorpus,3.656123638153076,0.9,0,8,3
nfcorpus,3.9501500129699707,0.9,0,9,3
nfcorpus,4.04780125617981,0.9,0,10,3
nfcorpus,4.353438138961792,0.9,0,11,3
nfcorpus,4.403637409210205,0.9,0,12,3
nfcorpus,4.622647762298584,0.9,0,13,3
nfcorpus,4.802980899810791,0.9,0,14,3
nfcorpus,5.033524036407471,0.9,0,15,3
nfcorpus,7.652897834777832,0.9,0,1,5
nfcorpus,4.618230819702148,0.9,0,2,5
nfcorpus,3.96679949760437,0.9,0,3,5
nfcorpus,3.923635721206665,0.9,0,4,5
nfcorpus,4.115924119949341,0.9,0,5,5
nfcorpus,4.112980127334595,0.9,0,6,5
nfcorpus,4.417383193969727,0.9,0,7,5
nfcorpus,4.678652286529541,0.9,0,8,5
nfcorpus,4.994295358657837,0.9,0,9,5
nfcorpus,5.275962591171265,0.9,0,10,5
nfcorpus,5.644244432449341,0.9,0,11,5
nfcorpus,5.950916528701782,0.9,0,12,5
nfcorpus,6.284301042556763,0.9,0,13,5
nfcorpus,6.722863435745239,0.9,0,14,5
nfcorpus,6.8982977867126465,0.9,0,15,5
nfcorpus,7.7245025634765625,0.9,0,1,7
nfcorpus,5.270660400390625,0.9,0,2,7
nfcorpus,4.569535970687866,0.9,0,3,7
nfcorpus,4.452491760253906,0.9,0,4,7
nfcorpus,4.6801018714904785,0.9,0,5,7
nfcorpus,4.8304338455200195,0.9,0,6,7
nfcorpus,5.2902672290802,0.9,0,7,7
nfcorpus,5.813040018081665,0.9,0,8,7
nfcorpus,6.177227258682251,0.9,0,9,7
nfcorpus,6.650054216384888,0.9,0,10,7
nfcorpus,7.013343334197998,0.9,0,11,7
nfcorpus,7.486057281494141,0.9,0,12,7
nfcorpus,8.049496173858643,0.9,0,13,7
nfcorpus,8.40665316581726,0.9,0,14,7
nfcorpus,8.92656135559082,0.9,0,15,7
nfcorpus,7.985793828964233,0.9,0,1,9
nfcorpus,5.5245020389556885,0.9,0,2,9
nfcorpus,4.922654151916504,0.9,0,3,9
nfcorpus,5.105649471282959,0.9,0,4,9
nfcorpus,5.303547382354736,0.9,0,5,9
nfcorpus,5.609040975570679,0.9,0,6,9
nfcorpus,6.154787302017212,0.9,0,7,9
nfcorpus,6.654315710067749,0.9,0,8,9
nfcorpus,7.349116086959839,0.9,0,9,9
nfcorpus,7.929511785507202,0.9,0,10,9
nfcorpus,8.54187273979187,0.9,0,11,9
nfcorpus,9.06616735458374,0.9,0,12,9
nfcorpus,9.673227548599243,0.9,0,13,9
nfcorpus,10.111810445785522,0.9,0,14,9
nfcorpus,10.695435523986816,0.9,0,15,9
